SOC (%),Voltage (V),Current (A),Battery Temp (°C),Ambient Temp (°C),Charging Duration (min),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class
-0.3961028254016067,-1.1016273444354086,-0.8280750272864468,0.6364213888437477,0.2715755068350108,-0.36248565509879915,-0.44935390573883743,Fast,0.44935390573880085,Li-ion,-1.685452141372558,Model B,-0.2594930730133995
1.5761686558001893,0.11938688841308909,-0.8787396025808704,1.0691718747750785,1.0854819157828917,-0.08654660887692034,0.8044788252112229,Fast,-0.8044788252112255,LiFePO4,-0.6011456080979682,Model A,-0.2594930730133995
0.8274785083283037,1.2523654614990598,1.3893522736921047,-0.8374033929171381,0.9276373202081382,1.231290797491995,1.4145604273453687,Slow,-1.4145604273453647,LiFePO4,-1.4466014015253583,Model A,1.0781000868494848
0.37106493381832184,0.7707576008442634,-0.8699070305215718,0.4694731391275773,-1.1861702350078507,-0.5479355075820409,-0.2588641721890827,Fast,0.2588641721890515,LiFePO4,-1.541383441147263,Model B,-0.2594930730133995
-1.1441121760310102,1.0251683903007023,-0.7928326750191329,0.28402779007482315,-1.2023845785501375,1.2835126606334835,0.6193633996836266,Fast,-0.619363399683636,Li-ion,1.2489998053216118,Model C,1.0781000868494848
-1.1441947402948656,0.519409004068841,0.8841257335379257,1.1953510165461736,-0.7877375247287318,-1.418870771148693,-1.6985175498421814,Slow,1.698517549842171,Li-ion,-1.1698378458293965,Model C,-1.5970862328762838
-1.4793484074441001,0.6340371912968027,-0.1811852736462971,1.4510557578819732,-0.463828396888061,0.9624444896506887,0.29304489643800463,Fast,-0.2930448964379998,LiFePO4,1.0366880365685451,Model B,1.0781000868494848
1.2867905356192544,1.1710820740606076,0.9436848371852711,-1.6692358223366113,-0.29862891140532427,1.2070864895708553,1.5284504611039165,Fast,-1.528450461103933,LiFePO4,-1.2722024486210537,Model A,1.0781000868494848
0.3794737437349863,-0.8807604305633325,-1.5035375527293522,0.6410181561436744,0.6470901675327656,-1.094925735719503,-0.7252923937862347,Slow,0.725292393786238,Li-ion,-0.9347783875670729,Model B,-1.5970862328762838
0.7455945484818409,-0.060208590143772424,-0.05103491352178253,-1.5307349376629018,-1.5251385127575168,-0.2355434996361309,-0.009646058793357348,Slow,0.009646058793382366,Li-ion,-0.6731799582106158,Model C,-0.2594930730133995
-1.6077096605971215,-0.9781579370551705,-1.6127751729687625,0.2041388918745741,-1.6018713055093285,-1.151350947386177,-1.7906913185059106,Normal,1.790691318505874,Li-ion,0.3049706906874408,Model C,-1.5970862328762838
1.641875916330353,1.6449942782731881,-1.5128708686929229,-0.7076783927247519,-0.35631526032746225,0.719721222775114,1.3681875763005782,Fast,-1.3681875763005797,LiFePO4,0.8622890836642405,Model B,1.0781000868494848
1.1713191534254999,1.4957465825294334,1.3899814070180319,-0.6408561151920074,0.7079892950266725,0.127537832751498,0.6168011722007044,Normal,-0.6168011722007077,LiFePO4,-1.1432988747352633,Model A,-0.2594930730133995
